"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2014_1","K","CCA9",2015-04-23,113,5357.583,2373.417,10104.417,0.947933,0.7667835,2.4815,8074.608,9989.392,28053.392
"LSCFS_2014_1","L","CCA4",2014-07-17,198,6738.732,7327.122,21392.976,8.08012512,7.27443744,22.629,8074.608,11839.015,31752.638
"LSCFS_2014_1","L","CCA5",2014-08-08,220,10338.867,7777.055,25892.977,9.847779696,5.249360152,20.3465,8429.526,12740.1145,33909.755
"LSCFS_2014_1","L","CCA6",2014-09-09,252,11301.444,10650.8355,32603.115,6.817732776,3.588383612,13.9945,8074.608,11839.015,31752.638
"LSCFS_2014_1","L","CCA7",2014-10-15,288,2804.571,8544.638,19893.847,0.656637372,3.095931314,6.8485,532.377,3124.787,6781.951
"LSCFS_2014_2","A","CCA10",2015-04-28,118,5307.687,2351.313,10010.313,1.018412,0.823794,2.666,8303.472,10272.528,28848.528
"LSCFS_2014_2","A","CCA4",2014-07-30,211,13647.942,8190.1915,30028.325,3.238155936,3.669922032,10.578,0,14958.496,29916.992
"LSCFS_2014_2","A","CCA5",2014-08-24,236,12065.823,10724.789,33515.401,5.863687776,3.604156112,13.072,5612.532,15090.506,35793.544
"LSCFS_2014_2","A","CCA6",2014-09-20,263,11751.894,8245.5345,28242.963,4.463404128,3.229297936,10.922,7380.864,13404.992,34190.848
"LSCFS_2014_2","A","CCA7",2014-10-08,281,10705.464,7554.5465,25814.557,1.925390016,2.821304992,7.568,153.768,3929.856,8013.48
"LSCFS_2014_2","A","CCA8",2014-10-28,301,8866.935,6603.494,22073.923,2.450496384,3.375751808,9.202,0,667.79,1335.58
"LSCFS_2014_2","A","CCA9",2015-03-31,90,2329.866,1032.134,4394.134,2.266788,1.833606,5.934,2614.056,3233.944,9081.944
"LSCFS_2014_2","B","CCA4",2014-07-30,211,16118.487,10270.1245,36658.736,3.369432528,2.615283736,8.6,8918.544,11300.572,31519.688
"LSCFS_2014_2","B","CCA5",2014-08-24,236,18454.59,9181.8,36818.19,3.238155936,8.485922032,20.21,5843.184,10300.65,26444.484
"LSCFS_2014_2","B","CCA6",2014-09-20,263,13012.461,8695.4865,30403.434,8.007872112,7.262063944,22.532,691.956,13410.496,27512.948
"LSCFS_2014_2","B","CCA7",2014-10-08,281,8870.4,11021.382,30913.164,3.544467984,4.849766008,13.244,230.652,2676.968,5584.588
"LSCFS_2014_2","B","CCA8",2014-10-28,301,5914.062,7442.1145,20798.291,5.601134592,3.993432704,13.588,0,2804.718,5609.436
"LSCFS_2014_2","C","CCA4",2014-07-30,211,12349.953,10536.979,33423.911,6.257517552,5.041241224,16.34,461.304,12858.032,26177.368
"LSCFS_2014_2","C","CCA5",2014-08-24,236,10781.001,6137.893,23056.787,6.12624096,6.95587952,20.038,8303.472,13878.594,36060.66
"LSCFS_2014_2","C","CCA6",2014-09-20,263,8814.96,4499.0715,17813.103,7.43900688,7.97649656,23.392,4920.576,10361.28,25643.136
"LSCFS_2014_2","C","CCA7",2014-10-08,281,9090.774,6447.1365,21985.047,4.857233904,5.397383048,15.652,538.188,2268.508,5075.204
"LSCFS_2014_2","C","CCA8",2014-10-28,301,6774.075,3305.456,13384.987,5.601134592,4.638432704,14.878,461.304,2574.066,5609.436
"LSCFS_2014_2","D","CCA4",2014-07-30,211,12479.544,5868.9295,24217.403,1.925390016,2.133304992,6.192,8995.428,11796.362,32588.152
"LSCFS_2014_2","D","CCA5",2014-08-24,236,14230.755,7838.0095,29906.774,0.87517728,0.89541136,2.666,10456.224,13069.334,36594.892
"LSCFS_2014_2","D","CCA6",2014-09-20,263,5758.83,8134.674,22028.178,1.487801376,3.685099312,8.858,4382.388,12767.302,29916.992
"LSCFS_2014_2","D","CCA7",2014-10-08,281,4346.496,9468.8545,23284.205,0,1.806,3.612,307.536,4120.088,8547.712
"LSCFS_2014_2","D","CCA8",2014-10-28,301,782.397,4698.2595,10178.916,0.262553184,7.909723408,16.082,76.884,1564.254,3205.392
