study,colony,cca,date,doy,adult.num,pupae.num,larvae.num,eggs.num,queen,honey.cells,honey.kg,pollen.cells,pollen.g
LSCFS_2014_1,D8,CCA5,8/8/2014,220,15342,19255,11910,1588,1,83172,41.586,6749,1552.27
LSCFS_2014_1,D8,CCA6,9/9/2014,252,20234,15682,6749,993,1,52801,26.4005,3176,730.48
LSCFS_2014_1,D8,CCA7,10/15/2014,288,13288,4566,1787,0,0,57962,28.981,2581,593.63
LSCFS_2014_1,D8,CCA8,3/18/2015,77,1087,1390,993,397,1,50618,25.309,2581,593.63
LSCFS_2014_1,D8,CCA9,4/23/2015,113,121,0,0,0,0,47243,23.6215,1588,365.24
LSCFS_2014_1,E1,CCA1,5/15/2014,135,4832,11910,7940,3970,1,7146,3.573,1588,365.24
LSCFS_2014_1,E1,CCA2,6/5/2014,156,10449,16277,5955,2978,1,27393,13.6965,993,228.39
LSCFS_2014_1,E1,CCA3,6/20/2014,171,19388,19850,10918,6749,1,50419,25.2095,4367,1004.41
LSCFS_2014_1,E1,CCA4,7/17/2014,198,21804,24217,8933,5558,1,54786,27.393,11513,2647.99
LSCFS_2014_1,E1,CCA5,8/8/2014,220,28267,24614,8139,8536,1,54191,27.0955,8933,2054.59
LSCFS_2014_1,E1,CCA6,9/9/2014,252,24039,20247,12903,6154,1,29577,14.7885,8933,2054.59
LSCFS_2014_1,E1,CCA7,10/15/2014,288,16852,6749,2382,596,1,43670,21.835,5558,1278.34
LSCFS_2014_1,E4,CCA1,5/15/2014,135,4047,1390,3772,5360,1,10719,5.3595,3176,730.48
LSCFS_2014_1,E4,CCA2,6/5/2014,156,6825,13300,5161,7742,1,11116,5.558,2184,502.32
LSCFS_2014_1,E4,CCA3,6/20/2014,171,12865,20049,6352,6154,1,28783,14.3915,2382,547.86
LSCFS_2014_1,E4,CCA4,7/17/2014,198,15100,18461,7146,4566,1,49228,24.614,2184,502.32
LSCFS_2014_1,E4,CCA5,8/8/2014,220,14436,20644,9925,3772,1,45854,22.927,2779,639.17
LSCFS_2014_1,E4,CCA6,9/9/2014,252,14979,26401,6948,5955,1,28584,14.292,3375,776.25
LSCFS_2014_1,E4,CCA7,10/15/2014,288,13771,3970,2581,1191,1,25607,12.8035,2184,502.32
LSCFS_2014_1,E4,CCA8,3/18/2015,77,2235,5360,2978,1191,1,2978,1.489,4566,1050.18
LSCFS_2014_1,E4,CCA9,4/23/2015,113,11838,23225,6948,3970,1,13498,6.749,7543,1734.89
LSCFS_2014_1,F2,CCA1,5/15/2014,135,2718,5360,3375,2779,1,3573,1.7865,1787,411.01
LSCFS_2014_1,F2,CCA2,6/5/2014,156,8154,13101,4764,5757,1,18858,9.429,596,137.08
LSCFS_2014_1,F2,CCA3,6/20/2014,171,10026,15483,10322,5757,1,21637,10.8185,3176,730.48
LSCFS_2014_1,F2,CCA4,7/17/2014,198,14134,19056,8734,1588,1,34936,17.468,7940,1826.2
LSCFS_2014_1,F2,CCA5,8/8/2014,220,18905,17468,7345,397,1,44067,22.0335,5360,1232.8
LSCFS_2014_1,F2,CCA6,9/9/2014,252,18241,22431,5955,1191,1,12109,6.0545,1787,411.01
LSCFS_2014_1,F2,CCA7,10/15/2014,288,14738,1985,794,596,1,12704,6.352,397,91.31
LSCFS_2014_1,F5,CCA1,5/15/2014,135,6040,5757,9131,8536,1,15682,7.841,5558,1278.34
LSCFS_2014_1,F5,CCA2,6/5/2014,156,14919,17071,9925,5558,1,41288,20.644,2779,639.17
LSCFS_2014_1,F5,CCA3,6/20/2014,171,18603,20644,15285,7146,1,62925,31.4625,8337,1917.51
LSCFS_2014_1,F5,CCA4,7/17/2014,198,20476,20843,10719,993,1,63520,31.76,20644,4748.12
LSCFS_2014_1,F5,CCA5,8/8/2014,220,24220,22629,11116,794,1,71460,35.73,9528,2191.44
LSCFS_2014_1,F5,CCA6,9/9/2014,252,20778,25805,13101,1390,1,42876,21.438,14094,3241.62
